Feature ID,Feature Name,Feature Type,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSG00000170323,FABP4,Gene Expression,0.7519489726074413,0.0,0.0,943,1.174639745061007,251
ENSG00000197766,CFD,Gene Expression,0.7037013009894499,0.0,0.0,2105,2.1505592261391975,514
ENSG00000166819,PLIN1,Gene Expression,0.6434410222064199,0.0,0.0,458,0.5606452985388284,182
ENSG00000100604,CHGA,Gene Expression,0.5838860834166016,0.0,0.0,195338,65.39988026498516,1109
ENSG00000148180,GSN,Gene Expression,0.5751305424188404,0.0,0.0,6612,4.455318918640451,882
ENSG00000123689,G0S2,Gene Expression,0.5709213704580606,0.0,0.0,678,0.8106627765531221,279
ENSG00000134884,ARGLU1,Gene Expression,0.5626962715139527,0.0,0.0,3173,3.0853910704403233,856
ENSG00000148671,ADIRF,Gene Expression,0.5503464859038041,0.0,0.0,1204,0.9164038945619286,498
ENSG00000115461,IGFBP5,Gene Expression,0.5333486718750702,0.0,0.0,1443,1.0059244251466462,476
ENSG00000143401,ANP32E,Gene Expression,0.5216322549745487,0.0,0.0,2199,2.4039085492619297,768
ENSG00000077942,FBLN1,Gene Expression,0.5017886009453073,0.0,0.0,1500,1.0491950477422773,484
ENSG00000120885,CLU,Gene Expression,0.4949290293179753,0.0,0.0,1195,0.9261385498405904,385
ENSG00000163017,ACTG2,Gene Expression,0.4940233047481225,0.0,0.0,2566,1.47474946723996,423
ENSG00000211445,GPX3,Gene Expression,0.4932821173832713,0.0,0.0,2001,1.2724093253853257,655
ENSG00000183971,NPW,Gene Expression,0.4914426450368727,0.0,0.0,18271,4.919482480776047,901
ENSG00000175084,DES,Gene Expression,0.4868112231334304,0.0,0.0,4427,2.6280756692099336,513
ENSG00000188536,HBA2,Gene Expression,0.48555065743770803,0.0,0.0,399,0.5537030800660356,148
ENSG00000198467,TPM2,Gene Expression,0.47915730669586026,0.0,0.0,7737,5.893309291791564,955
