Feature ID,Feature Name,Feature Type,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSG00000197766,CFD,Gene Expression,0.7869821095870554,0.0,0.0,7159,9.947841664475755,766
ENSG00000145423,SFRP2,Gene Expression,0.7796819894425288,0.0,0.0,1550,2.257277395382889,437
ENSG00000100604,CHGA,Gene Expression,0.7727977125628721,0.0,0.0,147535,93.00723422562977,1005
ENSG00000118271,TTR,Gene Expression,0.7503044378548058,0.0,0.0,43129,27.658738541135904,965
ENSG00000175084,DES,Gene Expression,0.7497305360781289,0.0,0.0,23182,26.51639337870901,923
ENSG00000163017,ACTG2,Gene Expression,0.7470441198381591,0.0,0.0,15694,17.746819823523825,887
ENSG00000101335,MYL9,Gene Expression,0.738924705346982,0.0,0.0,35897,39.535054269748194,988
ENSG00000089199,CHGB,Gene Expression,0.7361521349877324,0.0,0.0,16914,10.431648217980225,835
ENSG00000182253,SYNM,Gene Expression,0.7339051074118161,0.0,0.0,5457,6.160679756216228,688
ENSG00000130176,CNN1,Gene Expression,0.7338895308829162,0.0,0.0,6872,7.851264624426061,759
ENSG00000163815,CLEC3B,Gene Expression,0.7323999277092281,0.0,0.0,2297,3.1615607811571054,549
ENSG00000188536,HBA2,Gene Expression,0.7160394127399842,0.0,0.0,1485,2.6692456198330876,252
ENSG00000175426,PCSK1,Gene Expression,0.7096286152498464,0.0,0.0,14181,8.699392691846642,811
ENSG00000148180,GSN,Gene Expression,0.7091821742117941,0.0,0.0,17505,18.395485983099917,994
ENSG00000172403,SYNPO2,Gene Expression,0.7037290837134924,0.0,0.0,8037,8.763549324081406,849
ENSG00000196924,FLNA,Gene Expression,0.688486708735831,0.0,0.0,27203,28.408043083562298,1005
ENSG00000120885,CLU,Gene Expression,0.6828903521146256,0.0,0.0,4931,6.227162474047773,826
ENSG00000143196,DPT,Gene Expression,0.6822810219922357,0.0,0.0,1463,2.053642780289127,468
ENSG00000065534,MYLK,Gene Expression,0.6783341243841678,0.0,0.0,8897,9.514168344583805,870
ENSG00000211592,IGKC,Gene Expression,0.6739569471258139,0.0,0.0,48927,42.9259925622526,980
ENSG00000164816,DEFA5,Gene Expression,0.6736399225154194,0.0,0.0,36071,27.086147364455886,894
ENSG00000233041,PHGR1,Gene Expression,0.6725932838237446,0.0,0.0,33779,20.837286742859444,982
ENSG00000149591,TAGLN,Gene Expression,0.6725556354045968,0.0,0.0,18831,19.666127574097167,963
ENSG00000128591,FLNC,Gene Expression,0.6701679717461531,0.0,0.0,1650,1.8428213721828361,476
ENSG00000115414,FN1,Gene Expression,0.6659335904259567,0.0,0.0,5530,5.769475916189878,831
ENSG00000079308,TNS1,Gene Expression,0.6628007775309008,0.0,0.0,4681,4.74041341175464,814
ENSG00000125851,PCSK2,Gene Expression,0.6576812501488883,0.0,0.0,3454,2.123386784132573,598
ENSG00000198467,TPM2,Gene Expression,0.6573304582365193,0.0,0.0,26962,31.838960676627377,1002
ENSG00000152932,RAB3C,Gene Expression,0.6557918794770754,0.0,0.0,4448,2.7994625099018386,641
ENSG00000178695,KCTD12,Gene Expression,0.6550953110479253,0.0,0.0,27974,19.292791044429244,967
ENSG00000162992,NEUROD1,Gene Expression,0.6549447524070307,0.0,0.0,5882,3.9560763686529343,724
ENSG00000004776,HSPB6,Gene Expression,0.654672519006156,0.0,0.0,4542,4.904771010557581,780
ENSG00000163586,FABP1,Gene Expression,0.653080888146826,0.0,0.0,17375,10.13933302472446,840
ENSG00000114113,RBP2,Gene Expression,0.6478452768193562,0.0,0.0,9608,6.091271096539415,684
ENSG00000129167,TPH1,Gene Expression,0.6448753107551822,0.0,0.0,5073,3.185534344123327,675
ENSG00000142173,COL6A2,Gene Expression,0.642561689945973,0.0,0.0,6634,6.889868044811085,904
ENSG00000136872,ALDOB,Gene Expression,0.6414686268268849,0.0,0.0,17449,9.843685394834578,807
ENSG00000168477,TNXB,Gene Expression,0.6411306198110602,0.0,0.0,5705,6.941246464170975,865
ENSG00000104870,FCGRT,Gene Expression,0.6410207913468049,0.0,0.0,11431,10.341137637577033,976
ENSG00000125730,C3,Gene Expression,0.6391044656909972,0.0,0.0,4245,4.784514569285824,764
ENSG00000166825,ANPEP,Gene Expression,0.6363171271312396,0.0,0.0,12269,7.240618144853728,766
ENSG00000077942,FBLN1,Gene Expression,0.6324959428295416,0.0,0.0,7633,8.150458834886871,908
ENSG00000106211,HSPB1,Gene Expression,0.6324168021498949,0.0,0.0,11613,11.725129038856622,950
ENSG00000106483,SFRP4,Gene Expression,0.632228077448931,0.0,0.0,3125,2.099543694797569,582
ENSG00000006128,TAC1,Gene Expression,0.6310366010857271,0.0,0.0,5236,3.2288682536916973,692
ENSG00000140416,TPM1,Gene Expression,0.6302199362107378,0.0,0.0,16338,16.76858500053576,986
ENSG00000170345,FOS,Gene Expression,0.6295029129770509,0.0,0.0,12377,9.887514648070333,912
ENSG00000122786,CALD1,Gene Expression,0.6256709832843377,0.0,0.0,8243,7.884209072572491,901
ENSG00000165828,PRAP1,Gene Expression,0.6234862666383941,0.0,0.0,5440,3.1426177957367383,513
ENSG00000036565,SLC18A1,Gene Expression,0.6218486943681034,0.0,0.0,4722,2.9718969525833376,662
ENSG00000011465,DCN,Gene Expression,0.6218408575774325,0.0,0.0,11796,12.199582167549982,962
ENSG00000163497,FEV,Gene Expression,0.6212621856659809,0.0,0.0,4061,3.2559226659985274,681
ENSG00000100170,SLC5A1,Gene Expression,0.6207434156404044,0.0,0.0,5184,3.510738353155432,513
ENSG00000182698,RESP18,Gene Expression,0.6192444309496465,0.0,0.0,607,0.33418717607246584,207
ENSG00000189334,S100A14,Gene Expression,0.6088516499320675,0.0,0.0,2401,1.848876432149009,471
ENSG00000101447,FAM83D,Gene Expression,0.6082817660747629,0.0,0.0,1095,1.2022054737236099,352
ENSG00000125144,MT1G,Gene Expression,0.6082290401712566,0.0,0.0,13058,8.882007354240338,888
ENSG00000163453,IGFBP7,Gene Expression,0.6077974880301338,0.0,0.0,20961,16.548903136478483,979
ENSG00000164822,DEFA6,Gene Expression,0.6077801306603768,0.0,0.0,17781,13.676743546964362,752
ENSG00000141505,ASGR1,Gene Expression,0.6074234102246233,0.0,0.0,3856,2.5805289062775154,633
ENSG00000099834,CDHR5,Gene Expression,0.6027018117529123,0.0,0.0,19249,12.333800060152914,920
ENSG00000167779,IGFBP6,Gene Expression,0.6026524347381643,0.0,0.0,2642,2.8054664222777963,687
ENSG00000106258,CYP3A5,Gene Expression,0.6023327536097154,0.0,0.0,10537,6.6092305973178185,831
ENSG00000176956,LY6H,Gene Expression,0.5994166959984524,0.0,0.0,3221,2.3743991148796435,642
ENSG00000171476,HOPX,Gene Expression,0.5980894810578199,0.0,0.0,3646,2.3146251097350174,644
ENSG00000054356,PTPRN,Gene Expression,0.5955617921177286,0.0,0.0,3599,2.2845566783544626,605
ENSG00000163520,FBLN2,Gene Expression,0.5952671189471079,0.0,0.0,1634,1.8109815327991075,538
ENSG00000211895,IGHA1,Gene Expression,0.5952056696860653,0.0,0.0,22752,17.83333914808275,924
ENSG00000142798,HSPG2,Gene Expression,0.5949404354337605,0.0,0.0,5381,5.39096580837734,875
ENSG00000125740,FOSB,Gene Expression,0.594626107603202,0.0,0.0,5114,4.42121460638272,693
ENSG00000166959,MS4A8,Gene Expression,0.5941780972032529,0.0,0.0,7280,4.578591916397868,787
ENSG00000184613,NELL2,Gene Expression,0.592785118548456,0.0,0.0,3862,2.5463986438053863,667
ENSG00000120738,EGR1,Gene Expression,0.5914332236790147,0.0,0.0,5647,4.845328331697558,824
ENSG00000084674,APOB,Gene Expression,0.5902008832484018,0.0,0.0,7630,4.087238131024543,581
ENSG00000100234,TIMP3,Gene Expression,0.5875721944681975,0.0,0.0,4274,4.498972827984488,842
ENSG00000183963,SMTN,Gene Expression,0.5871945103396281,0.0,0.0,4737,5.036378795071918,813
ENSG00000196923,PDLIM7,Gene Expression,0.5855438687196015,0.0,0.0,3167,3.2847810816620058,736
ENSG00000104435,STMN2,Gene Expression,0.5850551593668916,0.0,0.0,6706,5.096708191662088,783
