Feature ID,Feature Name,Feature Type,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSG00000136872,ALDOB,Gene Expression,0.8105785558852623,0.0,0.0,37927,29.67474536205627,928
ENSG00000100604,CHGA,Gene Expression,0.7875024787459319,0.0,0.0,305627,192.45923422631023,979
ENSG00000118271,TTR,Gene Expression,0.784707956936051,0.0,0.0,72422,47.06812436803361,973
ENSG00000163586,FABP1,Gene Expression,0.7842016494481349,0.0,0.0,34632,25.19858905888971,898
ENSG00000166825,ANPEP,Gene Expression,0.7824192721755416,0.0,0.0,23117,18.442718397579306,881
ENSG00000182253,SYNM,Gene Expression,0.7705184128438624,0.0,0.0,4392,5.100068674899656,580
ENSG00000175084,DES,Gene Expression,0.7651004907414704,0.0,0.0,21038,24.242252504187544,887
ENSG00000114113,RBP2,Gene Expression,0.75861582560174,0.0,0.0,18235,13.116882500444273,786
ENSG00000163017,ACTG2,Gene Expression,0.7585429612545708,0.0,0.0,13539,15.534361526400938,831
ENSG00000118137,APOA1,Gene Expression,0.7545494701200219,0.0,0.0,26422,23.353627743678416,871
ENSG00000110244,APOA4,Gene Expression,0.7515254332605128,0.0,0.0,16831,15.053700261802897,773
ENSG00000164816,DEFA5,Gene Expression,0.749556523898175,0.0,0.0,37340,52.548447633754996,947
ENSG00000182156,ENPP7,Gene Expression,0.7422910480481515,0.0,0.0,940,0.8001404079190935,223
ENSG00000089199,CHGB,Gene Expression,0.7421439060689676,0.0,0.0,44078,28.21820974004941,955
ENSG00000130176,CNN1,Gene Expression,0.7411987817121616,0.0,0.0,4664,5.310090110867756,628
ENSG00000163295,ALPI,Gene Expression,0.7300896222992663,0.0,0.0,4233,3.5641248369394245,483
ENSG00000170231,FABP6,Gene Expression,0.72546039780006,0.0,0.0,16593,11.3433040596516,771
ENSG00000211592,IGKC,Gene Expression,0.7253666160327172,0.0,0.0,58811,54.11893165996837,955
ENSG00000115414,FN1,Gene Expression,0.7231750678210219,0.0,0.0,6202,7.346122462012045,760
ENSG00000165828,PRAP1,Gene Expression,0.7217857307621013,0.0,0.0,9127,7.362759758635885,670
ENSG00000101335,MYL9,Gene Expression,0.7216008803197994,0.0,0.0,26944,30.257896551104963,940
ENSG00000004776,HSPB6,Gene Expression,0.7183933855043417,0.0,0.0,3667,4.3221844749317,668
ENSG00000104870,FCGRT,Gene Expression,0.7179402791211795,0.0,0.0,11871,11.353396490163151,971
ENSG00000106211,HSPB1,Gene Expression,0.7168520778180039,0.0,0.0,11297,12.45251290706844,919
ENSG00000184557,SOCS3,Gene Expression,0.7155047395776569,0.0,0.0,1781,1.824925504245703,313
ENSG00000149591,TAGLN,Gene Expression,0.7131112780565424,0.0,0.0,15018,16.745438631899486,895
ENSG00000120885,CLU,Gene Expression,0.7099431321228175,0.0,0.0,4523,5.425056745691695,706
