Feature ID,Feature Name,Feature Type,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSG00000175084,DES,Gene Expression,0.9542727513862664,0.0,0.0,49248,61.6959464044749,966
ENSG00000163017,ACTG2,Gene Expression,0.9500240355711046,0.0,0.0,31545,38.36343599627164,955
ENSG00000100604,CHGA,Gene Expression,0.9305905599820113,0.0,0.0,319044,114.97098026712085,967
ENSG00000196924,FLNA,Gene Expression,0.9279819445851049,0.0,0.0,36905,43.81349249815622,970
ENSG00000198467,TPM2,Gene Expression,0.9246986579324206,0.0,0.0,36820,44.809689702962544,968
ENSG00000101335,MYL9,Gene Expression,0.9187500717377777,0.0,0.0,57392,70.28150072870501,972
ENSG00000182253,SYNM,Gene Expression,0.8942286395307647,0.0,0.0,10473,13.360818193545374,902
ENSG00000172403,SYNPO2,Gene Expression,0.8897968270396446,0.0,0.0,14746,18.039818972500818,946
ENSG00000130176,CNN1,Gene Expression,0.8878465577406038,0.0,0.0,11079,13.355007871950011,907
ENSG00000065534,MYLK,Gene Expression,0.8848278750140339,0.0,0.0,15340,18.589930905227952,955
ENSG00000106211,HSPB1,Gene Expression,0.8833829314289251,0.0,0.0,18919,20.90560868290725,970
ENSG00000149591,TAGLN,Gene Expression,0.8803666901773771,0.0,0.0,25543,29.026099600938345,964
ENSG00000140416,TPM1,Gene Expression,0.8802879527547273,0.0,0.0,24134,28.29890780279088,970
ENSG00000106258,CYP3A5,Gene Expression,0.8689360021896887,0.0,0.0,11436,4.191497146436053,569
ENSG00000118271,TTR,Gene Expression,0.8661765933282728,0.0,0.0,57668,20.759957396749332,841
ENSG00000075624,ACTB,Gene Expression,0.855199543681898,0.0,0.0,22956,23.508388313567426,971
ENSG00000183963,SMTN,Gene Expression,0.8485653528112252,0.0,0.0,8867,10.478755205391149,945
ENSG00000233041,PHGR1,Gene Expression,0.8479152537255484,0.0,0.0,18397,6.977937983231328,696
ENSG00000143369,ECM1,Gene Expression,0.8428816247671106,0.0,0.0,25201,9.158620223170983,722
ENSG00000129167,TPH1,Gene Expression,0.8392688048434376,0.0,0.0,20661,7.8001757452139655,703
ENSG00000089199,CHGB,Gene Expression,0.8382889053250899,0.0,0.0,35935,13.606680424538121,795
ENSG00000004776,HSPB6,Gene Expression,0.8375581392596992,0.0,0.0,6979,8.33808563573679,885
ENSG00000120885,CLU,Gene Expression,0.8227365274551381,0.0,0.0,7237,8.193569541869486,860
ENSG00000166959,MS4A8,Gene Expression,0.8185885749232901,0.0,0.0,9678,3.5543920863432525,571
ENSG00000130675,MNX1,Gene Expression,0.8163692871684783,0.0,0.0,8910,3.3096157186362576,571
ENSG00000142173,COL6A2,Gene Expression,0.8067567360846434,0.0,0.0,8116,9.07139141756941,936
ENSG00000015413,DPEP1,Gene Expression,0.8062798944753006,0.0,0.0,5485,2.0415934657011325,496
ENSG00000163618,CADPS,Gene Expression,0.8055838282734639,0.0,0.0,6100,2.315900367055375,538
ENSG00000181031,RPH3AL,Gene Expression,0.805576315366855,0.0,0.0,9025,3.4450218961173973,598
ENSG00000079308,TNS1,Gene Expression,0.8011077430164848,0.0,0.0,6826,7.821726953509127,930
ENSG00000036565,SLC18A1,Gene Expression,0.7997461926461918,0.0,0.0,8459,3.2186589038767117,572
ENSG00000152932,RAB3C,Gene Expression,0.7988055613889484,0.0,0.0,7154,2.610217023434182,539
ENSG00000102109,PCSK1N,Gene Expression,0.7952763122915124,0.0,0.0,7050,2.625410813507898,539
ENSG00000095637,SORBS1,Gene Expression,0.7948138242695766,0.0,0.0,5887,6.923056794616561,891
ENSG00000162761,LMX1A,Gene Expression,0.7943777618398064,0.0,0.0,4196,1.5833814303192688,477
ENSG00000099834,CDHR5,Gene Expression,0.7887764316367715,0.0,0.0,8112,2.994713955043185,553
ENSG00000106089,STX1A,Gene Expression,0.7852296239331321,0.0,0.0,4319,1.601008228379772,482
ENSG00000115414,FN1,Gene Expression,0.7827297856507027,0.0,0.0,8354,8.971635441948623,939
ENSG00000108551,RASD1,Gene Expression,0.7817843179247688,0.0,0.0,7527,2.8471684915103084,563
ENSG00000101447,FAM83D,Gene Expression,0.7812644562849788,0.0,0.0,3704,4.52875697336582,770
ENSG00000169213,RAB3B,Gene Expression,0.7787761099406731,0.0,0.0,4984,1.7627682622055085,502
ENSG00000163431,LMOD1,Gene Expression,0.7738853364502961,0.0,0.0,4666,5.6982561441602435,840
ENSG00000175426,PCSK1,Gene Expression,0.773799247995354,0.0,0.0,10184,3.6416885045018246,583
ENSG00000006128,TAC1,Gene Expression,0.773302983763797,0.0,0.0,10673,4.032252113500476,609
ENSG00000122786,CALD1,Gene Expression,0.7730865122787751,0.0,0.0,14901,16.123561627699594,970
ENSG00000125144,MT1G,Gene Expression,0.7679887679046725,0.0,0.0,3358,1.2137666895191384,418
ENSG00000198417,MT1F,Gene Expression,0.7663405782178402,0.0,0.0,3761,1.322220472412964,481
ENSG00000160282,FTCD,Gene Expression,0.7626814361907246,0.0,0.0,4638,1.6337143861667636,486
ENSG00000163497,FEV,Gene Expression,0.7624596125157648,0.0,0.0,5447,2.0522727215557626,516
ENSG00000181885,CLDN7,Gene Expression,0.7603636093525443,0.0,0.0,3951,1.4444780979126812,469
ENSG00000054356,PTPRN,Gene Expression,0.7597316215520975,0.0,0.0,6037,2.09557005178219,503
ENSG00000010310,GIPR,Gene Expression,0.756203884480679,0.0,0.0,3329,1.2506386910567318,452
ENSG00000250799,PRODH2,Gene Expression,0.7561768202914634,0.0,0.0,3277,1.1696797464474131,437
