Feature ID,Feature Name,Feature Type,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSG00000100604,CHGA,Gene Expression,0.9219810669545879,0.0,0.0,239522,80.82083890707928,1120
ENSG00000101335,MYL9,Gene Expression,0.8986167162088234,0.0,0.0,43085,40.01921484641398,1098
ENSG00000175084,DES,Gene Expression,0.8723395267882768,0.0,0.0,21738,19.88538272849702,881
ENSG00000196924,FLNA,Gene Expression,0.8641639851381505,0.0,0.0,20546,19.116575171615,1035
ENSG00000198467,TPM2,Gene Expression,0.8569251045448154,0.0,0.0,21334,20.027566790291328,1039
ENSG00000163017,ACTG2,Gene Expression,0.8540338650297671,0.0,0.0,13761,12.58392857378377,784
ENSG00000149591,TAGLN,Gene Expression,0.8450878980033338,0.0,0.0,16018,15.240215842430809,1038
ENSG00000182253,SYNM,Gene Expression,0.8152215397957069,0.0,0.0,5675,5.1831933581229075,644
ENSG00000118271,TTR,Gene Expression,0.8033279455737344,0.0,0.0,41025,14.42120771921045,1036
ENSG00000130176,CNN1,Gene Expression,0.7936440754121573,0.0,0.0,6019,5.6585994183556325,729
ENSG00000172403,SYNPO2,Gene Expression,0.792446140908712,0.0,0.0,7721,7.3366587773499665,872
ENSG00000106211,HSPB1,Gene Expression,0.7861715550771318,0.0,0.0,9738,8.636666231142518,1038
ENSG00000065534,MYLK,Gene Expression,0.7847167709514274,0.0,0.0,8839,7.962822435749563,937
ENSG00000148180,GSN,Gene Expression,0.7798045049614613,0.0,0.0,12414,11.87597358790854,1071
ENSG00000075624,ACTB,Gene Expression,0.776293641870871,0.0,0.0,15790,12.582335209859288,1098
ENSG00000233041,PHGR1,Gene Expression,0.7715195549380528,0.0,0.0,33273,10.422514791365028,987
ENSG00000140416,TPM1,Gene Expression,0.7699458820772873,0.0,0.0,14657,12.451766572302644,1078
ENSG00000175426,PCSK1,Gene Expression,0.7601464764430823,0.0,0.0,20096,7.162284995766569,916
ENSG00000004776,HSPB6,Gene Expression,0.7560301035878423,0.0,0.0,4253,4.246841933283065,792
ENSG00000089199,CHGB,Gene Expression,0.7542224123001842,0.0,0.0,31471,9.317737169534151,993
ENSG00000129167,TPH1,Gene Expression,0.7461921154315219,0.0,0.0,16969,5.7866819713206175,872
ENSG00000120885,CLU,Gene Expression,0.7434033741340368,0.0,0.0,4845,4.914065111892245,815
ENSG00000142173,COL6A2,Gene Expression,0.7433270055258705,0.0,0.0,5716,5.532181645919952,958
ENSG00000183963,SMTN,Gene Expression,0.7320378770767891,0.0,0.0,3949,3.345277764764412,794
ENSG00000079308,TNS1,Gene Expression,0.7242717969001722,0.0,0.0,4245,3.9160478064487387,822
ENSG00000107796,ACTA2,Gene Expression,0.7214580342739619,0.0,0.0,13769,14.036519720779044,1005
ENSG00000099834,CDHR5,Gene Expression,0.7200071702054858,0.0,0.0,13699,4.753628509698837,833
ENSG00000115414,FN1,Gene Expression,0.7155989856641854,0.0,0.0,4878,4.717723478491982,874
ENSG00000106258,CYP3A5,Gene Expression,0.7144234117034718,0.0,0.0,13156,4.871159428758199,839
ENSG00000036565,SLC18A1,Gene Expression,0.7121845212567258,0.0,0.0,10001,3.4841565653638766,765
ENSG00000077942,FBLN1,Gene Expression,0.7082142392496119,0.0,0.0,4399,4.780911020505675,836
ENSG00000163431,LMOD1,Gene Expression,0.7072484976112028,0.0,0.0,2635,2.458611108404726,651
ENSG00000164692,COL1A2,Gene Expression,0.7044840140459795,0.0,0.0,8222,8.4401096901976,1037
ENSG00000166959,MS4A8,Gene Expression,0.7024552402136316,0.0,0.0,8471,3.1313179749134004,749
ENSG00000177469,CAVIN1,Gene Expression,0.6998600322860312,0.0,0.0,5668,5.4456578029726845,985
ENSG00000124942,AHNAK,Gene Expression,0.6944224976884392,0.0,0.0,4402,4.118682324423269,954
ENSG00000026025,VIM,Gene Expression,0.694035876678068,0.0,0.0,9282,8.356619743262922,1037
ENSG00000196923,PDLIM7,Gene Expression,0.6819709979465256,0.0,0.0,2927,2.635978283411057,769
ENSG00000143369,ECM1,Gene Expression,0.6720934609926685,0.0,0.0,10849,2.936685906650378,766
ENSG00000168542,COL3A1,Gene Expression,0.6693904148290525,0.0,0.0,7794,7.8261114205981706,981
ENSG00000181541,MAB21L2,Gene Expression,0.6684161480425599,0.0,0.0,1175,1.0538784457499015,378
ENSG00000128591,FLNC,Gene Expression,0.6676693897198213,0.0,0.0,1356,1.2429978069512113,441
ENSG00000198300,PEG3,Gene Expression,0.6614255048554152,0.0,0.0,9736,3.25708438341025,788
ENSG00000119888,EPCAM,Gene Expression,0.6594904095441602,0.0,0.0,7738,2.544209475656034,733
